"WaferNumber: Ascending","X: Descending","Y: Descending",HBin
13,4,6,1
13,4,7,1
13,4,8,1
13,4,9,1
13,4,10,1
13,4,11,1
13,4,12,1
13,4,14,1
13,4,15,1
13,4,16,1
13,4,17,1
13,4,19,1
13,4,20,1
13,4,21,1
13,4,23,1
13,4,24,1
13,4,26,1
13,6,25,25
13,6,27,10
13,6,2,5
13,6,18,5
13,6,13,4
13,6,15,4
13,6,7,3
13,6,26,3
13,6,29,3
13,6,3,1
13,6,4,1
13,6,5,1
13,6,6,1
13,6,8,1
13,6,9,1
13,6,10,1
13,6,11,1
13,6,12,1
13,6,14,1
13,6,16,1
13,6,17,1
13,6,19,1
13,6,20,1
13,6,21,1
13,6,22,1
13,6,23,1
13,6,24,1
13,6,28,1
13,10,13,25
13,10,19,25
13,10,3,11
13,10,5,11
13,10,25,11
13,10,28,11
13,10,10,10
13,10,4,3
13,10,6,3
13,10,15,3
13,10,7,1
13,10,8,1
13,10,9,1
13,10,11,1
13,10,12,1
13,10,14,1
13,10,16,1
13,10,17,1
13,10,18,1
13,10,20,1
13,10,21,1
13,10,22,1
13,10,23,1
13,10,24,1
13,10,26,1
13,10,27,1
13,12,10,25
13,12,16,7
13,12,7,5
13,12,14,5
13,12,23,5
13,12,11,3
13,12,12,3
13,12,22,3
13,12,8,1
13,12,9,1
13,12,13,1
13,12,15,1
13,12,17,1
13,12,18,1
13,12,19,1
13,12,20,1
13,12,21,1
13,12,24,1
13,11,23,22
13,11,25,19
13,11,26,17
13,11,16,10
13,11,5,3
13,11,6,1
13,11,7,1
13,11,8,1
13,11,9,1
13,11,10,1
13,11,11,1
13,11,12,1
13,11,13,1
13,11,14,1
13,11,15,1
13,11,17,1
13,11,18,1
13,11,19,1
13,11,20,1
13,11,21,1
13,11,22,1
13,11,24,1
13,5,2,11
13,5,5,11
13,5,12,11
13,5,23,11
13,5,16,7
13,5,3,5
13,5,29,5
13,5,13,3
13,5,4,1
13,5,6,1
13,5,7,1
13,5,8,1
13,5,9,1
13,5,10,1
13,5,11,1
13,5,14,1
13,5,15,1
13,5,17,1
13,5,18,1
13,5,19,1
13,5,20,1
13,5,21,1
13,5,22,1
13,5,24,1
13,5,25,1
13,5,26,1
13,5,27,1
13,5,28,1
13,9,2,11
13,9,11,11
13,9,12,11
13,9,14,11
13,9,24,11
13,9,28,11
13,9,8,10
13,9,18,10
13,9,20,5
13,9,29,5
13,9,4,3
13,9,26,3
13,9,3,1
13,9,5,1
13,9,6,1
13,9,7,1
13,9,9,1
13,9,10,1
13,9,13,1
13,9,15,1
13,9,16,1
13,9,17,1
13,9,19,1
13,9,21,1
13,9,22,1
13,9,23,1
13,9,25,1
13,9,27,1
13,13,15,11
13,13,18,11
13,13,12,5
13,13,16,4
13,13,13,1
13,13,14,1
13,13,17,1
13,13,19,1
14,13,17,42
14,13,19,26
14,13,14,25
14,13,12,22
14,13,13,11
14,13,15,7
14,13,18,5
14,13,16,1
14,2,12,41
14,2,13,11
14,2,21,11
14,2,23,11
14,2,11,10
14,2,15,2
14,2,8,1
14,2,9,1
14,2,10,1
14,2,14,1
14,2,16,1
14,2,17,1
14,2,18,1
14,2,19,1
14,2,20,1
14,2,22,1
14,7,28,40
14,7,9,39
14,7,27,25
14,7,1,11
14,7,10,11
14,7,15,11
14,7,17,11
14,7,30,11
14,7,18,10
14,7,4,5
14,7,26,5
14,7,13,4
14,7,16,4
14,7,2,3
14,7,8,3
14,7,22,3
14,7,3,1
14,7,5,1
14,7,6,1
14,7,7,1
14,7,11,1
14,7,12,1
14,7,14,1
14,7,19,1
14,7,20,1
14,7,21,1
14,7,23,1
14,7,24,1
14,7,25,1
14,7,29,1
14,3,5,39
14,3,10,25
14,3,15,11
14,3,21,10
14,3,22,10
14,3,6,4
14,3,17,3
14,3,7,1
14,3,8,1
14,3,9,1
14,3,11,1
14,3,12,1
14,3,13,1
14,3,14,1
14,3,16,1
14,3,18,1
14,3,19,1
14,3,20,1
14,3,23,1
14,3,24,1
14,3,25,1
14,3,26,1
14,4,28,39
14,4,11,11
14,4,21,11
14,4,7,10
14,4,20,10
14,4,16,7
14,4,24,5
14,4,12,3
14,4,14,3
14,4,19,3
14,4,4,1
14,4,5,1
14,4,6,1
14,4,8,1
14,4,9,1
14,4,10,1
14,4,13,1
14,4,15,1
14,4,17,1
14,4,18,1
14,4,22,1
14,4,23,1
14,4,25,1
14,4,26,1
14,4,27,1
14,1,15,26
14,1,13,18
14,1,17,12
14,1,18,12
14,1,14,1
14,1,16,1
14,8,5,25
14,8,14,12
14,8,29,10
14,8,16,5
14,8,18,5
14,8,30,5
14,8,4,3
14,8,2,1
14,8,3,1
14,8,6,1
14,8,7,1
14,8,8,1
14,8,9,1
14,8,10,1
14,8,11,1
14,8,12,1
14,8,13,1
14,8,15,1
14,8,17,1
14,8,19,1
14,8,20,1
14,8,21,1
14,8,22,1
14,8,23,1
14,8,24,1
14,8,25,1
14,8,26,1
14,8,27,1
14,8,28,1
14,9,6,25
14,9,12,25
14,9,24,17
14,9,13,11
14,9,26,11
14,9,5,10
14,9,17,10
14,9,2,6
14,9,15,5
14,9,14,3
14,9,20,3
14,9,29,3
14,9,3,1
14,9,4,1
14,9,7,1
14,9,8,1
14,9,9,1
14,9,10,1
14,9,11,1
14,9,16,1
14,9,18,1
14,9,19,1
14,9,21,1
14,9,22,1
14,9,23,1
14,9,25,1
14,9,27,1
14,9,28,1
14,10,3,25
14,10,7,22
14,10,4,11
14,10,8,10
14,10,22,5
14,10,28,5
14,10,13,3
14,10,19,3
14,10,5,1
14,10,6,1
14,10,9,1
14,10,10,1
14,10,11,1
14,10,12,1
14,10,14,1
14,10,15,1
14,10,16,1
14,10,17,1
14,10,18,1
14,10,20,1
14,10,21,1
14,10,23,1
14,10,24,1
14,10,25,1
14,10,26,1
14,10,27,1
14,11,6,25
14,11,15,11
14,11,26,11
14,11,12,3
14,11,16,3
14,11,23,3
14,11,5,1
14,11,7,1
14,11,8,1
14,11,9,1
14,11,10,1
14,11,11,1
14,11,13,1
14,11,14,1
14,11,17,1
14,11,18,1
14,11,19,1
14,11,20,1
14,11,21,1
14,11,22,1
14,11,24,1
14,11,25,1
14,6,14,22
14,6,3,11
14,6,18,11
14,6,19,11
14,6,29,11
14,6,26,10
14,6,8,6
14,6,16,6
14,6,12,4
14,6,13,3
14,6,2,1
14,6,4,1
14,6,5,1
14,6,6,1
14,6,7,1
14,6,9,1
14,6,10,1
14,6,11,1
14,6,15,1
14,6,17,1
14,6,20,1
14,6,21,1
14,6,22,1
14,6,23,1
14,6,24,1
14,6,25,1
14,6,27,1
14,6,28,1
14,12,7,18
14,12,10,13
14,12,8,11
14,12,24,11
14,12,13,10
14,12,20,10
14,12,16,3
14,12,9,1
14,12,11,1
14,12,12,1
14,12,14,1
14,12,15,1
14,12,17,1
14,12,18,1
14,12,19,1
14,12,21,1
14,12,22,1
14,12,23,1
14,5,16,11
14,5,2,10
14,5,19,10
14,5,23,5
14,5,29,5
14,5,28,4
14,5,11,3
14,5,15,3
14,5,20,3
14,5,3,1
14,5,4,1
14,5,5,1
14,5,6,1
14,5,7,1
14,5,8,1
14,5,9,1
14,5,10,1
14,5,12,1
14,5,13,1
14,5,14,1
14,5,17,1
14,5,18,1
14,5,21,1
14,5,22,1
